USN,Section,Batch,Sem
1BI23CS003,A,2023,1
1BI23CS004,A,2023,1
1BI23CS006,A,2023,1
1BI23CS007,A,2023,1
1BI23CS008,A,2023,1
1BI23CS009,A,2023,1
1BI23CS011,A,2023,1
1BI23CS012,A,2023,1
1BI23CS013,A,2023,1
1BI23CS014,A,2023,1
1BI23CS016,A,2023,1
1BI23CS017,A,2023,1
1BI23CS018,A,2023,1
1BI23CS019,A,2023,1
1BI23CS022,A,2023,1
1BI23CS023,A,2023,1
1BI23CS025,A,2023,1
1BI23CS026,A,2023,1
1BI23CS027,A,2023,1
1BI23CS031,A,2023,1
1BI23CS032,A,2023,1
1BI23CS033,A,2023,1
1BI23CS034,A,2023,1
1BI23CS035,A,2023,1
1BI23CS036,A,2023,1
1BI23CS037,A,2023,1
1BI23CS039,A,2023,1
1BI23CS044,A,2023,1
1BI23CS045,A,2023,1
1BI23CS048,A,2023,1
1BI23CS049,A,2023,1
1BI23CS050,A,2023,1
1BI23CS051,A,2023,1
1BI23CS052,A,2023,1
1BI23CS055,A,2023,1
1BI23CS056,A,2023,1
1BI23CS057,A,2023,1
1BI23CS058,A,2023,1
1BI23CS059,A,2023,1
1BI23CS060,A,2023,1
1BI23CS061,A,2023,1
1BI23CS062,A,2023,1
1BI23CS063,A,2023,1
1BI23CS065,A,2023,1
1BI23CS067,A,2023,1
1BI23CS068,A,2023,1
1BI23CS070,A,2023,1
1BI23CS072,A,2023,1
1BI23CS073,A,2023,1
1BI23CS075,A,2023,1
1BI23CS078,A,2023,1
1BI23CS079,A,2023,1
1BI23CS081,A,2023,1
1BI23CS082,A,2023,1
1BI23CS086,A,2023,1
1BI23CS087,A,2023,1
1BI23CS088,A,2023,1
1BI23CS089,A,2023,1
1BI23CS091,A,2023,1
1BI23CS092,A,2023,1
1BI23CS249,A,2023,1
1BI23CS251,A,2023,1
1BI23CS093,B,2023,1
1BI23CS095,B,2023,1
1BI23CS100,B,2023,1
1BI23CS101,B,2023,1
1BI23CS102,B,2023,1
1BI23CS103,B,2023,1
1BI23CS107,B,2023,1
1BI23CS108,B,2023,1
1BI23CS109,B,2023,1
1BI23CS111,B,2023,1
1BI23CS112,B,2023,1
1BI23CS113,B,2023,1
1BI23CS114,B,2023,1
1BI23CS115,B,2023,1
1BI23CS116,B,2023,1
1BI23CS117,B,2023,1
1BI23CS118,B,2023,1
1BI23CS121,B,2023,1
1BI23CS126,B,2023,1
1BI23CS128,B,2023,1
1BI23CS129,B,2023,1
1BI23CS130,B,2023,1
1BI23CS134,B,2023,1
1BI23CS135,B,2023,1
1BI23CS137,B,2023,1
1BI23CS139,B,2023,1
1BI23CS140,B,2023,1
1BI23CS141,B,2023,1
1BI23CS143,B,2023,1
1BI23CS144,B,2023,1
1BI23CS146,B,2023,1
1BI23CS149,B,2023,1
1BI23CS153,B,2023,1
1BI23CS154,B,2023,1
1BI23CS156,B,2023,1
1BI23CS158,B,2023,1
1BI23CS159,B,2023,1
1BI23CS160,B,2023,1
1BI23CS162,B,2023,1
1BI23CS163,B,2023,1
1BI23CS164,B,2023,1
1BI23CS166,B,2023,1
1BI23CS167,B,2023,1
1BI23CS171,B,2023,1
1BI23CS173,B,2023,1
1BI23CS174,B,2023,1
1BI23CS176,B,2023,1
1BI23CS177,B,2023,1
1BI23CS178,B,2023,1
1BI23CS179,B,2023,1
1BI23CS185,B,2023,1
1BI23CS187,B,2023,1
1BI23CS192,B,2023,1
1BI23CS193,B,2023,1
1BI23CS194,B,2023,1
1BI23CS195,B,2023,1
1BI23CS196,B,2023,1
1BI23CS228,B,2023,1
1BI23CS222,B,2023,1
1BI23CS170,B,2023,1
1BI23CS038,B,2023,1
1BI23CS040,B,2023,1
1BI23CS006,B,2023,1
1BI23CS001,C,2023,1
1BI23CS015,C,2023,1
1BI23CS020,C,2023,1
1BI23CS029,C,2023,1
1BI23CS030,C,2023,1
1BI23CS046,C,2023,1
1BI23CS054,C,2023,1
1BI23CS066,C,2023,1
1BI23CS071,C,2023,1
1BI23CS074,C,2023,1
1BI23CS076,C,2023,1
1BI23CS077,C,2023,1
1BI23CS080,C,2023,1
1BI23CS083,C,2023,1
1BI23CS084,C,2023,1
1BI23CS085,C,2023,1
1BI23CS094,C,2023,1
1BI23CS096,C,2023,1
1BI23CS097,C,2023,1
1BI23CS098,C,2023,1
1BI23CS099,C,2023,1
1BI23CS104,C,2023,1
1BI23CS105,C,2023,1
1BI23CS106,C,2023,1
1BI23CS115,C,2023,1
1BI23CS120,C,2023,1
1BI23CS122,C,2023,1
1BI23CS125,C,2023,1
1BI23CS127,C,2023,1
1BI23CS132,C,2023,1
1BI23CS133,C,2023,1
